Designator MidX MidY Rotation Comment Footprint
R11 81.92 84.77 180 2.2k R0402
R12 84.45 84.77   0 1.5k R0402
R15 63.18 66.36 270 2.2k R0402
R17 64.77 65.72   0 1.5k R0402
R18 28.89 65.09 180 1.5k R0402
R19 28.89 61.91 180 2.2k R0402
R22 36.51 55.88   0 10k R0402
R23 38.74 55.88 180 10k R0402
R24 36.04 50.48 180 100k R0402
R25 39.53 50.48 180 100k R0402
R26 36.04 49.37 180 100k R0402
R27 39.53 49.37 180 100k R0402
R28 16.99 46.36  90 200k R0402
R29 20.64 46.36  90 200k R0402
R30 15.72 45.09  90 200k R0402
R31 21.91 44.93  90 200k R0402
R32 23.18 44.93  90 100k R0402
R33 13.81 44.45 180 100k R0402
R34 17.62 44.45   0 100k R0402
R35 20.00 44.45 180 100k R0402
R36 46.99 43.97 270 1.5k R0402
R39 13.81 43.18   0 33k R0402
R40 17.62 43.18 180 33k R0402
R41 20.00 43.18   0 33k R0402
R42 22.54 43.18 180 33k R0402
R43 64.77 39.69 180 100k R0402
R44 73.02 39.69   0 100k R0402
R45 67.31 39.05 180 1.0k R0603
R46 70.48 39.05   0 1.0k R0603
R47 64.14 36.83 180 23.7k R0402
R48 73.66 36.83   0 23.7k R0402
R49 45.40 36.35 180 39k R0402
R50 40.01 36.35   0 39k R0402
R51 40.01 35.40 180 56k R0402
R52 45.40 35.40   0 56k R0402
R53 73.66 34.29   0 23.7k R0402
R54 64.29 33.81 180 23.7k R0402
R55 47.15 33.34  90 10k R0402
R56 38.26 33.34  90 10k R0402
R57 14.13 32.38   0 33k R0402
R58 19.37 32.38   0 33k R0402
R59 23.18 32.38 180 33k R0402
R60 62.87 32.07  90 100k R0402
R61 74.93 32.07  90 100k R0402
R62 64.77 31.43   0 1.0k R0603
R63 72.87 31.43 180 1.0k R0603
R64 14.13 31.12 180 100k R0402
R65 19.37 31.12 180 100k R0402
R66 23.18 31.12   0 100k R0402
R67 47.15 31.12 270 10k R0402
R68 30.80 30.16 180 1.0k R0402
R69 46.04 29.53   0 56k R0402
R70 15.08 29.21 270 200k R0402
R71 20.00 29.21 270 200k R0402
R72 22.54 29.21 270 200k R0402
R73 74.61 28.58   0 100k R0402
R74 77.15 28.58   0 150k R0402
R75 46.04 28.57 180 39k R0402
R76 11.11 26.67 180 100k R0402
R77 75.25 24.45 270 100k R0402
R78 37.47 12.70 180 680 R0402
R79 49.53 12.70 180 680 R0402
R80 61.60 12.70 180 680 R0402
R81 73.66 12.70 180 680 R0402
R82  2.86 10.48  90 180 R0402
R83 14.92 10.48  90 180 R0402
R84 26.99 10.48  90 180 R0402
R85 13.65  7.30  90 1.0k R0603
R86 25.72  7.30  90 1.0k R0603
R87 26.99  3.81  90 1.0k R0603
